ID,Name,City,Category,Ratings(5),Rating_count,Description,Address,Map-link,Review 1,Review 2,Review 3,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours
28,Kapu Beach,Manipal,Beach,4.6,"3,682","Located between Mangalore and the town Udupi, Kaup (Kapu) beach is another pristine and relatively untouched beach. There is a lighthouse here, constructed in 1901, which is open every day for an hour from 5:30 AM. The beach is lined There are many beautiful Airbnb's around the beach which makes for the perfect quiet getaway. The panoramic view of the sea from the top of the lighthouse is phenomenal.","6P9Q+XXR, Kapu Beach Rd, Ram Nagar, Kaup, Padu, Karnataka 574106","https://www.google.com/maps/place/Kapu+Beach/@13.2222827,74.7355016,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcb11621151e45:0xf5e5f8e8e04f1ec8!8m2!3d13.2222775!4d74.7380765!16s%2Fg%2F11j8vq3gqk?entry=ttu",Beautiful white sand beach with crystal blue waters and without any garbage and people. Must visit during your Udupi trip.,"The beach is amazing,very clean and neat. The view from the lighthouse on the rocks near the Beach is also amazing. The vehicle parking area for the vehicles is close to the beach. The beach is not littered with plastic and other food items and the local youngsters who manage the beach boats and games for the children very courteous.",A pretty clean beach.. not too crowded.. perfect place to enjoy sunset and spend quality time with family and friends..,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,8 AM to 6 PM,Sunday,Closed
29,Kolluru Shri Mookambika Devi Temple,Kollur,Hindu temple,4.8,"39,002","Kollur Mookambika Temple is located at Kollur in Byndoor Taluk of Udupi District in the region of Tulunadu and in the state of Karnataka, India. It is a Hindu temple dedicated to the Mother Goddess known as Mookambika Devi. ","Kollur, Karnataka 576220","https://www.google.com/maps/place/Kolluru+Shri+Mookambika+Devi+Temple/@13.8637744,74.8119425,17z/data=!4m6!3m5!1s0x3bbc7ce6806e27ad:0xb5b1ac59955b2d63!8m2!3d13.8637888!4d74.8144538!16zL20vMDluc2dr?entry=ttu","It's ideal to go to Kolluru on weekdays, you can have multiple Darshans and cheaper stay.You should have Darshan of Devi,in all 3 forms,Mahakali in the morning, Mahalakshmi in the afternoon and Mahasaraswathi in the night",The temple is amazing for Hindu Devotees- We have booked for a chandi Havan and went of well- One should visit this temple.,"Wonderful temple. Had a wonderful Darshan. You get to see 3 avatar of devis at different timings in morning, afternoon and evening. They have a Shiveli procession also,we were not able to see but heard it's good.",Monday,"5:30 AM to 1:30 PM, 3 to 9 PM",Tuesday,"5:30 AM to 1:30 PM, 3 to 9 PM",Wednesday,"5:30 AM to 1:30 PM, 3 to 9 PM",Thursday,"5:30 AM to 1:30 PM, 3 to 9 PM",Friday,"5:30 AM to 1:30 PM, 3 to 9 PM",Saturday,"5:30 AM to 1:30 PM, 3 to 9 PM",Sunday,"5:30 AM to 1:30 PM, 3 to 9 PM"
30,Koodlutheertha Falls,Hebri,Waterfalls,4.6,"2,651","Koodlu Theertha Falls is a mesmerizing waterfall located near Hebri on Udupi-Agumbe Road in Karnataka. Nestled amidst the dense forest of the Western Ghats and adjacent to the Agumbe ranges the waterfall is the first fall of the River Sita. It is also known as Sita Falls. 
The Koodlu Theertha is a spectacular waterfall that descends from a height of about 300 feet. It plunges straight into a pond. Legend has it that thousands of years ago sages used to meditate near the place where the pond exists today. As such, the local people consider the water of the pond to be very holy.

Apart from the scenic beauty of the water taking a deep plunge from the mountains above, the place is also known for its serene atmosphere. The calm and tranquillity found near the waterfall is only disturbed by the roar of the water falling from the high position. Else, the uninhabited area is a place that is far removed from the hustle bustle of city life and nature seems to rule over the place.","Nadpal, Karnataka 576112","https://www.google.com/maps/place/Koodlutheertha+Falls/@13.3279499,74.920908,9.72z/data=!4m6!3m5!1s0x3bbb5ce4c235d5a3:0x4be078ca52899325!8m2!3d13.41299!4d75.121136!16s%2Fg%2F11xfml8x3?entry=ttu",the waterfalls were nature's beautiful piece of work but the 15 km approach road from the highway was horrible. the road can be travelled by car. We initially thought of quitting midway but were told by a family returning form the waterfall that the waterfalls were awesome.,Must visit place.. Cool weather.. there's a trek if around 3-5kms to the water fall which is such a relaxing sight.,"Its a hidden gem in the forest, we had a trekking to reach the place, but it worth the walk and suffering. the water falling from high above . can swim here and enjoy .",Monday,9 AM to 3 PM,Tuesday,9 AM to 3 PM,Wednesday,9 AM to 3 PM,Thursday,9 AM to 3 PM,Friday,9 AM to 3 PM,Saturday,9 AM to 3 PM,Sunday,9 AM to 3 PM
31,St. Mary's Islands,Udupi,Island,4.5,"2,500","The land where Vasco De Gama set his first foot, the land whose geological importance is immense and whose beauty is spectacular, is St. Mary's Island, Karnataka. A quaint island just off the coast of Udupi, St. Mary's Island is an island of white sand beaches, rock monoliths and great wildlife making it a mesmerizing place to be in.

Located just 4 miles off the coast of Karnataka in the Arabian Sea, St. Mary's Island is a geological treasure and hosts some of the most beautiful beaches in the country. It is a group of four individual islands namely Coconut Island, North Island, South Island and Daryabahadurgarh Island. One can find a shoreline made up full of crystalline rocks which were created at the time Madagascar Island got separated from India. The enchanting site is wonderful but is yet to be truly discovered for its tourism potential. Watching the sunset standing on the crystalline rocks is one of the most alluring experiences on the island.","St Mary’s Island, Malpe, Karnataka 576108","https://www.google.com/maps/place/St.+Mary's+Islands/@13.3787998,74.667981,16z/data=!3m1!4b1!4m6!3m5!1s0x3bbcbe9044f0a577:0xd120f0618dd88215!8m2!3d13.379177!4d74.6733436!16s%2Fm%2F02q61cw?entry=ttu","There are boards across stating outside food and water not allowed on the island and to our suprise, water was not available on the island either !! The washrooms were not cleaned and you can’t even take a leak. No facility available and once the ferry drops you, you’re stranded for an hour and then entire island can be covered under 20 mins.",Not recommended at all. Entry fee is 300. It's a small island with the same beach you see in Udupi. They will not let you carry plastic bottles inside but they sell it inside at higher price. Swimming is not allowed and you can even go inside water. Do not waste your 4 hours here.,Too many restrictions.... Waste of money... Just visit like a museum.... Fencing in the seawater...... Beautiful but cannot enjoy.... Like a caged peacock..... See fencing in the photo submitted,,,,,,,,,,,,,,
32,Hasta Shilpa Heritage Village Museum,Udupi,Museum,4.7,"2,398",Traditional houses have been preserved for future generations at this heritage village attraction.,"Hasta Shilpa Heritage Village Museum Opp: Hotel Lake View, Alevoor - Manipal Rd, near Christ Church, Manipal, Karnataka 576104","https://www.google.com/maps/place/Hasta+Shilpa+Heritage+Village+Museum/@13.3428759,74.7871566,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbca4b02a311083:0x966a447b74210007!8m2!3d13.3428707!4d74.7897315!16s%2Fg%2F1xn_lvjs?entry=ttu","A unique concept.This place is for who loves ancient architecture, houses. They succeed to preserve history, art and culture. We can take aesthetic photos. For cameras, they charge. But not for mobiles.",One of the Lesser known & most beautiful places in Udupi. Must visit! It is an open museum with traditional buildings and articles,"This is the first time I visited an open air museum. It takes around 2-3 hours to visit all structures. This place shows the ancestral houses of Hindu, Muslim, Christian people as well as courts, darbars of different ancient rulers.",Monday,6 AM to 9 PM,Tuesday,6 AM to 9 PM,Wednesday,6 AM to 9 PM,Thursday,6 AM to 9 PM,Friday,6 AM to 9 PM,Saturday,6 AM to 9 PM,Sunday,6 AM to 9 PM
33,Shri Chandramouleeshwara Devasthana,Manipal,Hindu temple,4.7,190,"Udupi is believed to have its origin in the Tullu word, Odipu. Another belief is that, it is named after the Moon God. In Sanskrit, Udu means `star’ and Pa means `leader’. The Chandra is the head of the stars; thus the place came to be known as `Udupi.

The legend has that the Moon God was cursed by Daksh Prajaapati. To redeem himself from this curse, Chandra started worshiping Lord Shiva on the banks of a holy pond, Chandra Pushkarini. Pleased with Chandra, Lord Shiva appeared before him and freed him from the curse. Hence, Shiva came to known as Chandramouleshwara after this event and a temple was built to honor Lord Shiva, which was named as the Chandramouleshwara temple.

There is a tradition of offering oil (in a lit array of lamps) to Lord Chandramouleshwara.

The Chandramouleshwara Temple is built right in front of the Anantheshwara Temple. The temple seems to have been constructed below the ground level, probably, on a lake bed. It is said to have been built after the Anantheshwara Temple.","8QR2+8VJ, Temple Car St, Sri Krishna Temple Complex, Thenkpete, Maruthi Veethika, Udupi, Karnataka 576101","https://www.google.com/maps/place/Shri+Chandramouleeshwara+Devasthana/@13.3408468,74.7495684,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcbb68bad3d345:0xb7afc468539b54a7!8m2!3d13.3408416!4d74.7521433!16s%2Fg%2F11b75g4tkl?entry=ttu","This is a Shiva temple located just in front of Sri Krishna temple. It’s believed that before visiting the main Sri Krishna temple, one must visit the two Shiva temples- Anantheshwara and Chandramouleeshwara, which are located in front of the main Udupi temple. Worth visiting all these temples once you are in Udupi.",Chandramouleeswhara temple is small in size when compared to the neighbouring Anantheshwara temple. The literary work Madhwa Vijaya tells us that the temple used to be called Moodu Devalaya (Mahendradigalaya) as it lies to the east (moodu) of Shri Anantheshwara temple which is considered as the chief temple of the place.,This is also a old temple in udupi just opposite to Krishna mutt. It's temple dedicated to Lord Shiva. Morning they were doing rudrabhisheka for god and it was only our family watching. Superb sight after Alankara the god was too beautiful to watch. Have a visit if you are in udupi.,Monday,Closed,Tuesday,10 AM to 4 PM,Wednesday,10 AM to 4 PM,Thursday,10 AM to 4 PM,Friday,10 AM to 4 PM,Saturday,10 AM to 4 PM,Sunday,10 AM to 4 PM
34,St. Lawrence Minor Basilica (Shrine),Karkala,Church,4.8,"5,029","St. Lawrence Shrine Basilica or Attur Basilica is a Roman Catholic church in Karkala, India. It was built in 1759 and is purported to be the site of many miracles. It is by characterized its Attur Jatre or Attur Festival. Attur Church is situated on the outskirts of Karkala in the Karnataka state of India. ","P.O, Attur, Karkala, Karnataka 576117","https://www.google.com/maps/place/St.+Lawrence+Minor+Basilica+(Shrine)/@13.2059712,74.9695119,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbb561ee0f9b0db:0x855325913b0906d!8m2!3d13.205966!4d74.9720868!16s%2Fm%2F0640jx6?entry=ttu","A must visit church. Be it it's miraculous power or the beauty of this place, I have been to this church so many times but feel the same excitement and happiness everytime. It's peaceful and calming. Love to visit this church on thursdays for mass.","A very popular shrine of St Lawrence. Draws hordes of worshippers during the annual pilgrimage in Jan every year. Maintained well and easy access from Mangalore, Udupi and Karkala.",Beautiful church. Less crowded place and you can calmly visit the place. You can go inside and pray. It was quite calm and refreshing. Interesting place was the pond behind. People do pray in the holy pond. Very beautiful and picturesque place. Don’t miss while you are in Udupi,Monday,6 AM to 7 PM,Tuesday,6 AM to 7 PM,Wednesday,6 AM to 7 PM,Thursday,6 AM to 7 PM,Friday,6 AM to 7 PM,Saturday,6 AM to 7 PM,Sunday,6 AM to 7 PM
35,Delta Beach Backwater,Udupi,Beach,4.6,"1,420","Delta Beach, also known as Kodi Bengre Beach, is located in a small village of Kodi Bengre in Udupi district, Karnataka. The beach is located at an estuary where the Swarna River meets the Arabian Sea. This place has other neighbouring small islands. Delta Beach, has a mini port for fisheries.","Kodi Bengare-Hoode Rd, Kodi Bengare, Thonse West, Karnataka 576115","https://www.google.com/maps/place/Delta+Beach+Backwater/@13.4173907,74.6755029,14z/data=!4m14!1m7!3m6!1s0x3bbcbde784be41ef:0xc93c856759af2640!2sDelta+Beach+Backwater!8m2!3d13.41735!4d74.6961026!16s%2Fg%2F11c5_2pfq3!3m5!1s0x3bbcbde784be41ef:0xc93c856759af2640!8m2!3d13.41735!4d74.6961026!16s%2Fg%2F11c5_2pfq3?entry=ttu","Green, quiet, serene! The beauty of this white sand beach is beyond words. Do take the boat ride amidst mangrove forests. Wonderful!",Peace and beautiful. If anyone want to avoid crowd please visit here and have your time with peacefulness.,"A must visit place near Udupi. Untouched by the swarm of tourists, it is the confluence of the sea and river. Breathtaking views.",,,,,,,,,,,,,,
36,Shri Chaturmukha Jaina Basadi,Karkala,Jain temple,4.5,"1,187","It has four symmetrical faces and is thus called chaturmukha (four faces) basadi (a term used to refer to Jain temples in South India). The temple has images of Tirthankara Aranath, Mallinath and Munisuvratnath. This basadi, completely made of carved granite rocks, is known as Tribhuvana Tilaka Jina Chaityalaya or Ratnatraya dhama from inscriptions.

It faces the famous Karkala Bahubali statue installed in the year 1432 by Veera Pandya of the Santara dynasty on February 13, 1432, on the instructions of the Bhattaraka of Karkala, Lalitakeerti.It has four symmetrical faces and is thus called chaturmukha (four faces) basadi (a term used to refer to Jain temples in South India).The temple has images of Tirthankara Aranath, Mallinath and Munisuvratnath.This basadi, completely made of carved granite rocks, is known as Tribhuvana Tilaka Jina Chaityalaya or Ratnatraya dhama from inscriptions.

It faces the famous Karkala Bahubali statue installed in the year 1432 by Veera Pandya of the Santara dynasty on February 13, 1432, on the instructions of the Bhattaraka of Karkala, Lalitakeerti.","6253+CXG, Market Rd, Karkala, Karnataka 574104","https://www.google.com/maps/place/Shri+Chaturmukha+Jaina+Basadi/@13.2085665,75.0023649,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbb5667afce4e93:0xe1f344fd5c943d81!8m2!3d13.2085613!4d75.0049398!16s%2Fg%2F11bxdt17pz?entry=ttu","Nice place to visit if you are in karkala, please visit early in the morning or evening to avoid sun. You need to climb around 50 steps to go the top. There is a small mirror here and from there, you can watch Gommateshwara statue.",It is a very old jain basadi. Completely a rocky structure. Beautiful statue inside the temple.,Beautiful place with a great view. However not recommended for elders as the step climb can be tiresome. Best time to visit would be in the mornings. The bottom stone gets very hot in the afternoon/evenings and can burn your foot if your not careful.,Monday,"10 AM to 2 PM, 4 to 5:30 PM",Tuesday,"10 AM to 2 PM, 4 to 5:30 PM",Wednesday,"10 AM to 2 PM, 4 to 5:30 PM",Thursday,"10 AM to 2 PM, 4 to 5:30 PM",Friday,"10 AM to 2 PM, 4 to 5:30 PM",Saturday,"10 AM to 2 PM, 4 to 5:30 PM",Sunday,"10 AM to 2 PM, 4 to 5:30 PM"
37,Karkala Shri Gommateshwara Statue,Karkala,Jain temple,4.6,"2,774","If you are visiting Karkala, this is a must-visit attraction. In fact, this statue of Bahubali or Gomateshwara is the 2nd largest statue of the kind.

A remarkable souvenir of the rich past of the place can be clearly witnessed here in the form of this architectural wonder. It is believed to be built around 1432 AD by a Pandya Dynasty king namely Veerapandya Bhairava Raja, then ruling king. The statue was created to commemorate Prince Bahubali who spent 12 years meditating while denouncing all the worldly pleasures. An auspicious occasion of Maha Masthakaabhisheka is held every 12 years during which the statue is bathed with saffron paste, milk and water.","Karkala, Karnataka 574104","https://www.google.com/maps/place/Karkala+Shri+Gommateshwara+Statue/@13.2037712,75.0055996,17z/data=!4m15!1m8!3m7!1s0x3bbb56644ac3981b:0x56e4f4ff65f1b00!2sKarkala+Shri+Gommateshwara+Statue!8m2!3d13.2037575!4d75.0055558!10e5!16s%2Fg%2F1tcy2r9_!3m5!1s0x3bbb56644ac3981b:0x56e4f4ff65f1b00!8m2!3d13.2037575!4d75.0055558!16s%2Fg%2F1tcy2r9_?entry=ttu",The statue is located atop a hill. You can walk steps or take a car from back road. The Gomteshwar statue is 44 Feet high. It was made below and carried to the hill. Visit early morning or late evening to avoid sun. Do check out great views of neareby forest area and Chaturmukha Temple.,There is a big statue of shri gommateshwara. This place is very peaceful and clean. They charge Rs 50 for car parking. One can take steps too if interested.,"Amazing statue with a rich history.Excellent place to visit.Great experience, definitely a must-go experience while you are visiting Karkala",,,,,,,,,,,,,,
38,Arbi Falls,Manipal,Waterfalls,4.1,"3,188","Arbi Falls also known as Bandaaje Arbi Falls is located in the Charmadi section of the Western Ghats near Manipal. The hilly terrain of the place carves out a pavement so that the rainwater can flow downhill creating a picturesque waterfall. A seasonal waterfall, Arbi comes to life only during the monsoon. Flowing from the hill near the Durga Temple, you have to walk for half a km from Dasharath Nagar to reach the falls. 

June to October is the best time to reach the falls. Since the base of the waterfall is shallow, it’s perfectly safe for tourists to play around and have a fun time. The water is supposed to be so pure that it can be used for drinking purposes. Since the waterfall is in the middle of a jungle, you can get easily lost finding your way -- so we recommend getting a guide. It’s also got a great wildlife attraction including reptiles. Feel free to picnic here with family but be sure to carry your own food.","8QPV+MCR, Dasharath Nagar, Manipal, Karnataka 576104","https://www.google.com/maps/place/Arbi+Falls/@13.336749,74.2167298,10z/data=!4m14!1m7!3m6!1s0x3bbca4b9b902bfe3:0x9e3b0f413701a350!2sArbi+Falls!8m2!3d13.336749!4d74.793512!16s%2Fg%2F11cp7cvdvd!3m5!1s0x3bbca4b9b902bfe3:0x9e3b0f413701a350!8m2!3d13.336749!4d74.793512!16s%2Fg%2F11cp7cvdvd?entry=ttu","Although the amount of water cascading down this waterfall is meagre, it still has a lot to offer. A short hike from a temple would open up to this mesmerizing spot amidst the woods, and from there, you can hike upwards to find mini nature pools, streams of water, and abundant greenery. Please beware of snakes!!!","Amazing experience! I wouldn't say it's too dirty, nor it's too clean, but if you're going obviously you have to go in the rainy season, rather than that, it's pretty beautiful!","It's a good waterfall, and I would prefer to go in the rainy season! People should really stop polluting the place, other than that, it's beautiful",Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours
39,Padubidri Beach,Udupi,Beach,4.6,"2,532","The Padubidri beach is located in the Udupi district of Karnataka. This beach lies within the small town of Padubidri, which is famous for the Dakkebali ritual held once in two years. 

A huge portion of the Padubidri population comprises of the Tuluva ethnic group.   The National Highway 17 (NH 17) passes through this little town and is situated along the Udupi –Mangalore route. The Padubidri beach is the perfect destination for the person who is looking for fun and adventure at a quiet seaside. Though not crowded like the more popular beaches along the coastline of Karnataka Padubidri beach is known for water sports and adventure rides.The beach is clean and well kept. This is also a perfect place for individuals and families who look forward to a pleasant evening watching the incredible sunset.",Karnataka 574111,"https://www.google.com/maps/place/Padubidri+Beach/@13.1309155,74.7597957,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcb2618e44d42d:0x3c54ed4484fe7145!8m2!3d13.1308865!4d74.762509!16s%2Fg%2F1tfrf6bl?entry=ttu","Clean, calm, less crowded beach. 1.6kms away from blue flag beach. Has got open shower , decent washrooms for freshen up n changing","mesmerizing blueflag beach, must visit when in udupi...water is coral blue... its serene, scenic, damn clean....there is a garden too... wash and bath clean facilities are available. It has a entry fee. It gives a tough competition to all international beaches. We visited in morning hours so less crowd was there.",There are two beaches - the regular beach and the eco blue flag beach. Latter is a must visit due to the Amazing infrastructure created by the government project. It's said that this is the only other blue flag beach apart from one near Kasaragod in West coast at present.,,,,,,,,,,,,,,
40,Daria Bahadurgad Fort,Malpe,Fort,4.1,98,Daria Bahadurgad is among the four Islands near Malpe Beach. It is located nearly 2 km from Malpe Beach. The island is stretched about 1.6 sq.km. This rocky island is known for its picturesque beauty. The fort on this island is constructed by Basavappa Naik of Bidanur. Visitors can see a old factory of Mangalore Tiles and few temples nearby the fort.,"8MVM+GVW, Laccadive Sea, Malpe","https://www.google.com/maps/place/Daria+Bahadurgad+Fort/@13.3438801,74.6821253,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcbbfd49411269:0xcc370962d465fead!8m2!3d13.3438749!4d74.6847002!16s%2Fg%2F11c1wvxph2?entry=ttu",The place is Historical. Can be more clean. I am sad that the fort memories are missing.... But best place to visit.,"Island Fort with a nice beach. Hire a local boat to get here. Not many tourist arrangements, bring your own food and water",Best place to go for an holiday trip,,,,,,,,,,,,,,
41,Maravanthe beach,Kundapura,Beach,4.7,"3,801","Located only 12 km from the main city of Kundapur, Maravanthe Beach is one of the most beautiful beaches in the city of Karnataka. The shoreline of this serene beach runs alongside the National Highway 17 (NH17) at a mere distance of 100 meters! On one side, the gentle waves of the mesmerizing Arabian Sea crash at the shore of the Maravanthe beach; and as you look to the other side, the Kodachadri Hills make a beautiful backdrop for the Sauparnika River that reaches out to the shore of the beach. Each and every person visiting the Maravanthe beach must witness the sunset.

Standing at this calm and unspoiled beach gives you a panoramic view of the wondrous creations of nature- unending deep blue seas, serene and silently flowing rivers and majestic mountains crowning the whole scenery. It offers a variety of choices ranging from lying down in the sun for the lazy ones to scuba diving and experiencing the aquatic life for water lovers! Since the tides are not very high, one can also go swimming.",Karnataka 576235,"https://www.google.com/maps/place/Maravanthe+beach/@13.7050008,74.6371866,16z/data=!3m1!4b1!4m6!3m5!1s0x3bbc8c7f9ac9bffb:0xa4af40ab55b2ea52!8m2!3d13.7048476!4d74.642422!16s%2Fg%2F1hc452mzz?entry=ttu",One of the best and unique beaches of India. It’s good that the cleanliness is maintained too. There’s some space to park your car on the way so you can get out and enjoy.,Nice and clean beach. A picturesque place from a drone shot where one side we found the beach and the other side river Kolluru and the national highways in the middle. Not many shops found on the beach and not a good spot for late evening visit as not many lights are there.,"Fabulous place to hangout with friends and family . we went in the evening and the weather is amazing with water rush sounds all over.Beware of capricorns on the corner side of the rocks , as they're huge in number",,,,,,,,,,,,,,
42,Uppinakudru,Uppinakudru,Island,4.7,67,"Uppinakudru, located 6 km north of Kundapura Udupi District, is a small island village, once famous for trading of salt and seafood. UppinaKudru is also having short name of UK. So this is called as UK of Kundapura. This is also known as 'The King of Kudrus'.",Karnataka 576230,"https://www.google.com/maps/place/Uppinakudru+Proper,+Karnataka/@13.6597274,74.6795707,15z/data=!3m1!4b1!4m6!3m5!1s0x3bbc8e7f26787d93:0xa3a3ff28d474311d!8m2!3d13.6595644!4d74.6912719!16zL20vMGJidHIx?entry=ttu","Heard a lot about this place, 6 km from Kundapur, basically because of the string puppet show...It was really nice place and experience",Must visit place if you are driving along the udupi coast. Hardly any crowd. The entire beach is for you to explore and enjoy.,"Its in the outskirts of Udupi, way around 25-35kms but worth place to visit to spend some quality time.Just go for boating managed by the local fisherman. Best time to visit in the early morning or after 4.30pm to avoid sunstroke.",,,,,,,,,,,,,,
43,Pithrody Udyavar Beach,Udupi,Beach,4.6,426,"Pithrody Beach is one of the unique beaches in Udupi that was developed in order to protect the strip of land, along with that, it has the Arabian Sea on one side and the Pithrody River on the other. Fewer people visit this location hence ensuring the serenity and tranquility of the location.",Karnataka,"https://www.google.com/maps/place/Pithrody+Udyavar+Beach/@13.2975379,74.7138924,16z/data=!3m1!4b1!4m6!3m5!1s0x3bbcba4fa9eaaa79:0x6fcae3df1a214bab!8m2!3d13.2970135!4d74.7191668!16s%2Fg%2F11r8j4d8l?entry=ttu","The best and cleanest beach you can find, it’s totally unexplored, as you don’t find any crowd here like most beaches, must visit if you’re in and around Udupi!","Kinda of neat n clean, shells all over, very nice coast line to sit n view the waves for ours together. The coastline have stones laid down towards the ocean.","One of the best beaches and amazing drive through. Amazing roads , scenic beauty of river on one side and sea on the other and roads covered by coconut trees",,,,,,,,,,,,,,
44,NITK Beach,Mangaluru,Beach,4.6,"1,003","NITK Beach also known as Surathkal beach is on the Arabian Sea coast at Surathkal, 16 km (9.9 mi) north of the centre of Mangalore city, in the Dakshina Kannada district of Karnataka, India. It is a private beach that was later named after the nearby NITK (National Institute of Technology, Karnataka).","Surathkal, Karnataka","https://www.google.com/maps/place/NITK+Beach/@13.0103661,74.778351,15z/data=!4m6!3m5!1s0x3ba3520c230fe0db:0x8537b4c31ee646fa!8m2!3d13.0096597!4d74.7887466!16s%2Fg%2F1v8x0m77?entry=ttu",Very beautiful beach. Clean and less crowded. Various formation of rocks in the beach . Enjoyed beautiful sunset there.,One of the cleanest beaches in South India. Not crowded much. Also there is no life guard. So people should be careful before getting into water.,"NITK Beach also known as Surathkal beach at Surathkal , 16km north of center of mangalore city, karanataka, India. It is a private beach that was later named after the nearby National Institute of Technology, Karanataka. It is the clean beach. Croud is not there.",,,,,,,,,,,,,,
45,Anegudde Sri Vinayaka Temple,Kumbhashi,Hindu temple,4.8,"8,332","Anegudde village is located at a distance of 9 km south of Kundapura, in Udupi District. Anegudde is also popularly called as Kumbashi. The name Kumbhashi is said to be derived from demon Kumbhasura. According to the history, when drought hit this area, Sage Agasthya performed penance to appease the Varuna, the Rain God. During the penance, demon Kumbhasura started troubling the sages. Bheemasena gets weapon from Lord Ganesha to kill Kumbahasura and assassinate him at this place. Anegudde is rewarded one of the seven 'Mukti Sthalas' of Karnataka (Parashurama kshetra). The temple at Anegudde is dedicated to Lord Vinayaka (Ganesha). Anegudde is the combination of two words - 'Aane' meaning 'Elephant' and 'Gudde', which stands for 'hillock' as it is the abode of the elephant-headed god, Lord Vinayaka.","Anegudde Vinayaka Temple Road, Kumbhashi, Karnataka 576257","https://www.google.com/maps/place/Anegudde+Sri+Vinayaka+Temple/@13.569284,74.7019187,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbc91118fcc1dc9:0x45f48767b9d7fe45!8m2!3d13.5692788!4d74.7044936!16s%2Fg%2F1tczcbk3?entry=ttu",Beautiful Clean temple .. 12km from Kundapur... Blessed ... there is shiva temple down the small hill which is in between Kalyani. Morning visits are very peaceful,One of the best temples located in Karnataka. This temple has a huge Ganapathi statue in the garbhagudi.,Very special ganesh temple on way from udupi to mudreswat one shod not miss it if you are travelling to or from udupi,Monday,6 AM to 8:30 PM,Tuesday,6 AM to 8:30 PM,Wednesday,6 AM to 8:30 PM,Thursday,6 AM to 8:30 PM,Friday,6 AM to 8:30 PM,Saturday,6 AM to 8:30 PM,Sunday,6 AM to 8:30 PM
46,Shrimath Anantheshwar Temple,Udupi,Hindu temple,4.7,123,"The Shrimath Ananteshwar Temple has played a divine role in the shaping of our Guruparampara. From the time of Parama Pujya Keshavashram Swamiji who performed the 2nd Punar-prathishtha in 1804, every Mathadhipati of Shri Chitrapur Math has been closely connected with the Devasthana.","Q472+WC4, Vitla, Karnataka 574243","https://www.google.com/maps/place/Anantheshwara,+Sri+Krishna+Temple+Complex,+Thenkpete,+Maruthi+Veethika,+Udupi,+Karnataka+576101/@13.340786,74.749099,16.89z/data=!4m6!3m5!1s0x3bbcbb68b1fa2123:0x41c16cb2f8c57c62!8m2!3d13.3407483!4d74.7517202!16s%2Fm%2F0134hlzf?entry=ttu",One of the prominent temple for Gowda Saraswat Brahmin (GSB) Konkani people. Temple is managed by GSB community. Mula Naga of many families are situated here. Shashti festival celebrated is famous. Thousands people gather for this famous festival.,This Naga devatha temple is one of the most ancient and sacred temples of the GSB community. There is ample parking space outside the temple premises.,"One of the oldest temples of gsb community. You can stay at yathri nivas, which is located in temple premises itself. Only one restaurant is present near to temple. Plenty of parking area is available in front of the temple.",,,,,,,,,,,,,,
